movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published,Year
The Little Prince Official Trailer,fEPqgSNLfK8,"The Little Prince Official Trailer #1 (2015) - Marion Cotillard, Jeff Bridges Animated Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,3549,5115737,40676,2015-04-21T16:16:58.000Z,2016
How to be Single Official Trailer,RrDI4-BSovs,How To Be Single - Official Trailer - Official Warner Bros. UK,Warner Bros. UK,UCbxjDfYwfF8RjYBp5htJ38Q,1733,9325154,42888,2015-11-18T14:00:24.000Z,2016
Pride and Prejudice and Zombies Official Trailer,foGraEVNI0s,Pride and Prejudice and Zombies Official Trailer #1 (2016) - Lily James Horror Movie HD,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,3587,9719575,32772,2015-10-22T16:15:54.000Z,2016
Misconduct Official Trailer,chZ7CYBDgPY,"Misconduct Official Trailer #1 (2016) - Anthony Hopkins, Al Pacino Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,303,1692483,3016,2015-12-17T17:19:31.000Z,2016
"Hail, Caesar! Official Trailer",kMqeoW3XRa0,"Hail, Caesar! - Official Trailer (HD)",Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,2255,10793239,22415,2015-10-09T15:00:05.000Z,2016
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing Official Trailer,Hx9nNZrFanI,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing (2016) - Zwiastun #1,fdbTV,UCDpn7hCo3NEcTqXBodq0f6w,2,48524,17,2016-03-06T12:51:32.000Z,2016
The Rise of the Krays Official Trailer,7ChEerbVbcE,Rise Of The Krays Official Trailer (2015),Signature Entertainment,UCbSLyYJPI_GlOBlDrUmnesQ,352,776068,527,2015-05-22T15:09:18.000Z,2016
Jane Got a Gun Official Trailer,9AKf06lP2Gk,"Jane Got a Gun Official Trailer #1 (2016) - Natalie Portman, Ewan McGregor Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,378,776631,3355,2016-01-06T16:11:47.000Z,2016
Fifty Shades of Black Official Trailer,J1pOTTcdRO8,"Fifty Shades of Black Official Trailer #1 (2016) - Jane Seymour, Marlon Wayans Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,6306,17415544,91675,2015-11-19T18:00:13.000Z,2016
Kung Fu Panda 3 Official Trailer,10r9ozshGVE,Kung Fu Panda 3 | Official Trailer #1,DreamWorksTV,UCY26xU0-avwTJ6F6TzUZVEw,1752,25282288,91495,2015-06-18T15:00:00.000Z,2016
The Finest Hours Official Trailer,BQmllwTKtqU,Disney's The Finest Hours - Trailer 1,Walt Disney Studios,UCuaFvcY4MhZY3U43mMt1dYQ,1000,8293223,9624,2015-07-08T15:56:45.000Z,2016
The 5th Wave Official Trailer,kmxLybfGNC4,THE 5TH WAVE - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,7191,17181961,62878,2015-09-14T23:00:32.000Z,2016
Zhuo yao ji Official Trailer,UegOO1rEbB0,MONSTER HUNT Movie Trailer (2015),KinoCheck,UCOL10n-as9dXO2qtjjFUQbQ,307,1896997,6517,2015-08-04T17:28:00.000Z,2016
The Boy Official Trailer,XGbB9UQ6r1g,The Boy Official Trailer #1 (2016)  Lauren Cohan Horror Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,6953,14995135,52702,2015-10-14T15:04:03.000Z,2016
