movie,budge,gross,comment_count,view_count,like_count,year
Hush,1000000.0,0.0,4387,9240900,27008,2016
Gods Not Dead 2,5000000.0,23551286.0,16858,3393814,21163,2016
Meet the Blacks,900000.0,9097072.0,3355,7861769,34787,2016
Everybody Wants Some,10000000.0,5437126.0,854,2847210,7226,2016
Everybody Wants Some,10000000.0,5437126.0,854,2847210,7226,2016
Batman v Superman: Dawn of Justice,250000000.0,867500281.0,7482,11794706,54111,2016
Batman v Superman: Dawn of Justice,250000000.0,867500281.0,7482,11794706,54111,2016
My Big Fat Greek Wedding 2,18000000.0,92096558.0,848,5098536,7924,2016
My Big Fat Greek Wedding 2,18000000.0,92096558.0,848,5098536,7924,2016
The Lobster,4500000.0,18019834.0,744,2034004,9360,2016
The Lobster,4500000.0,18019834.0,744,2034007,9360,2016
Krisha,30000.0,144822.0,110,300438,863,2016
Krisha,30000.0,144822.0,110,300440,863,2016
The Bronze,3500000.0,615816.0,315,1030646,2651,2016
The Bronze,3500000.0,615816.0,315,1030647,2651,2016
The Divergent Series: Allegiant,110000000.0,172022517.0,4788,8423144,34156,2016
The Divergent Series: Allegiant,110000000.0,172022517.0,4788,8423148,34156,2016
Midnight Special,18000000.0,7680250.0,907,3804897,8443,2016
Midnight Special,18000000.0,7680250.0,907,3804902,8443,2016
Miracles from Heaven,13000000.0,73798736.0,5340,9471930,57030,2016
Miracles from Heaven,13000000.0,73798736.0,5340,9471946,57030,2016
The Hatching,5000000.0,0.0,1,3949,13,2016
The Hatching,5000000.0,0.0,1,3949,13,2016
"Hello, My Name is Doris",1000000.0,14662703.0,796,2979825,13958,2016
"Hello, My Name is Doris",1000000.0,14662703.0,796,2979825,13958,2016
10 Cloverfield Lane,5000000.0,108286422.0,6791,10153984,34211,2016
10 Cloverfield Lane,5000000.0,108286422.0,6791,10153987,34211,2016
The Perfect Match,5000000.0,10182050.0,1146,6948995,25993,2016
The Perfect Match,5000000.0,10182050.0,1146,6948995,25993,2016
The Young Messiah,16800000.0,7313697.0,3711,2306946,8230,2016
Eye in the Sky,13000000.0,35402802.0,1481,3834842,7297,2016
Creative Control,1000000.0,63014.0,114,269638,478,2016
The Brothers Grimsby,35000000.0,28720470.0,1145,7089057,17471,2016
Out of the Inferno,19000000.0,0.0,1,8693,21,2016
Savva. Serdtse voyna,30000000.0,5015080.0,4,22579,52,2016
London Has Fallen,60000000.0,195194085.0,6075,14009995,38774,2016
Whiskey Tango Foxtrot,35000000.0,25350747.0,853,2650781,10156,2016
They Will Have to Kill Us First,600000.0,7943.0,13,62228,324,2016
Zootopia,150000000.0,1019429616.0,11209,21749680,75759,2016
The Other Side of the Door,5000000.0,12905107.0,1464,4783968,10860,2016
1982,1000000.0,0.0,1791,4657349,11690,2016
Triple 9,20000000.0,25943792.0,942,6571649,12045,2016
Eddie the Eagle,23000000.0,45060480.0,697,5173638,9972,2016
Gods of Egypt,140000000.0,138836756.0,23380,25600850,69685,2016
Forsaken,18000000.0,0.0,15420,3116499,62904,2016
Race,5000000.0,23745772.0,400,791295,2192,2016
Risen,20000000.0,46255763.0,3183,2748753,6695,2016
Mei Ren Yu,60720000.0,554516671.0,11,156989,133,2016
The Witch,3500000.0,40454520.0,5832,16838047,43343,2016
Deadpool,58000000.0,801025593.0,5817,34511435,123883,2016
Zoolander 2,50000000.0,55348693.0,8855,21940413,83600,2016
The Little Prince,77500000.0,102028919.0,3549,5115737,40676,2016
How to be Single,37000000.0,100003780.0,1733,9325154,42888,2016
Pride and Prejudice and Zombies,28000000.0,16638300.0,3587,9719575,32772,2016
Misconduct,11000000.0,2352511.0,303,1692483,3016,2016
"Hail, Caesar!",22000000.0,64160680.0,2255,10793239,22415,2016
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,60000000.0,194058503.0,2,48524,17,2016
The Rise of the Krays,2500000.0,0.0,352,776068,527,2016
Jane Got a Gun,25000000.0,3771345.0,378,776631,3355,2016
Fifty Shades of Black,5000000.0,22113075.0,6306,17415544,91675,2016
Kung Fu Panda 3,140000000.0,517599142.0,1752,25282288,91495,2016
The Finest Hours,70000000.0,49252761.0,1000,8293223,9624,2016
The 5th Wave,38000000.0,111336398.0,7191,17181961,62878,2016
Zhuo yao ji,56000000.0,359495591.0,307,1896997,6517,2016
The Boy,10000000.0,68220952.0,6953,14995135,52702,2016
Dirty Grandpa,11500000.0,105078449.0,2093,14482006,46437,2016
Yip Man 3,36000000.0,157300954.0,491,2277900,5281,2016
Eden,2300000.0,0.0,322,658421,1364,2016
Sharkskin,2100000.0,0.0,2,730,4,2016
13 Hours: The Secret Soldiers of Benghazi,50000000.0,69411370.0,3727,6394274,14997,2016
The Lady in the Van,6000000.0,42320503.0,448,1719140,6604,2016
Ride Along 2,40000000.0,124827316.0,2579,14863533,48871,2016
Norm of the North,18000000.0,30535660.0,0,2382637,0,2016
The Masked Saint,3500000.0,182695.0,8,49350,139,2016
The Forest,10000000.0,40749230.0,2644,6716059,20913,2016
Adulterers,750000.0,0.0,218,393836,989,2016
